date,Event
1986,my Birth
0,A.D
2001,9/11
1938,WWII start
-66e6,Dinosaurs extinct
-300000,homo sapiens
-4.5e9, earth
-13.7e9, universe formed
1452, da Vinci
1646,Leibniz
1724,Kant
1990,commercial internet
-428,Plato
1874,Schoenberg
1862,Debussy
1866,Satie
1882,Strawinsky
1685,J.S. Bach
1564,Galileo
-551,Konfuzius
-20000,Lascaux
-330000,stone tools
-3000,writing
1450,printing
-4.568e9,sun system
-38000,neanderthal ext.
-4e9,Life
-4.5e9,Oceans
-3.5e9,Oxygen
-2.1e9,Multicellular
-1.5e9,Fungi
-1.2e9,Sexual Repr.
-8.5e8, Plants
-6.09e8, Animals
-3e8,mammals
-12e6,bipedalism
-1.9e6,homo erectus
-18e6, hominidae
1911, v.Förster

